LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
48m         Normal    SuccessfulCreate    job/sqlserver-init                        Created pod: sqlserver-init-nq62q
47m         Normal    SuccessfulDelete    replicaset/juliopedidoapi-5f7798f7fc      Deleted pod: juliopedidoapi-5f7798f7fc-gs29q
47m         Normal    ScalingReplicaSet   deployment/juliojubiladoapi               Scaled down replica set juliojubiladoapi-78ffcdd46c from 4 to 0
47m         Normal    Pulled              pod/juliojubiladoapi-78ffcdd46c-czp4l     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
47m         Normal    Pulled              pod/juliojubiladoapi-78ffcdd46c-sccsk     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
47m         Normal    SuccessfulDelete    replicaset/juliojubiladoapi-78ffcdd46c    Deleted pod: juliojubiladoapi-78ffcdd46c-sccsk
47m         Normal    Created             pod/juliojubiladoapi-78ffcdd46c-sccsk     Created container: app
47m         Normal    SuccessfulDelete    replicaset/juliojubiladoapi-78ffcdd46c    Deleted pod: juliojubiladoapi-78ffcdd46c-czp4l
47m         Normal    SuccessfulDelete    replicaset/juliojubiladoapi-78ffcdd46c    Deleted pod: juliojubiladoapi-78ffcdd46c-rxrpt
47m         Normal    SuccessfulDelete    replicaset/juliojubiladoapi-78ffcdd46c    Deleted pod: juliojubiladoapi-78ffcdd46c-9gd2s
47m         Normal    Created             pod/juliojubiladoapi-78ffcdd46c-czp4l     Created container: app
47m         Normal    Pulled              pod/juliojubiladoapi-78ffcdd46c-rxrpt     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
47m         Normal    Created             pod/juliojubiladoapi-78ffcdd46c-rxrpt     Created container: app
47m         Normal    Pulled              pod/juliojubiladoapi-78ffcdd46c-9gd2s     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
47m         Normal    Pulled              pod/juliopedidoapi-5f7798f7fc-gs29q       Container image "local/juliopedidoapi:ha-20260409" already present on machine
47m         Normal    Created             pod/juliojubiladoapi-78ffcdd46c-9gd2s     Created container: app
47m         Normal    Created             pod/juliopedidoapi-5f7798f7fc-gs29q       Created container: app
47m         Normal    Started             pod/juliojubiladoapi-78ffcdd46c-czp4l     Started container app
47m         Normal    Started             pod/juliojubiladoapi-78ffcdd46c-rxrpt     Started container app
47m         Normal    Pulled              pod/sqlserver-init-nq62q                  Container image "mcr.microsoft.com/mssql/server:2022-latest" already present on machine
47m         Normal    Killing             pod/juliojubiladoapi-78ffcdd46c-sccsk     Stopping container app
47m         Normal    Killing             pod/juliojubiladoapi-78ffcdd46c-czp4l     Stopping container app
47m         Normal    Killing             pod/juliojubiladoapi-78ffcdd46c-rxrpt     Stopping container app
47m         Normal    Started             pod/juliojubiladoapi-78ffcdd46c-sccsk     Started container app
47m         Normal    Created             pod/flyway-migrate-fd5w6                  Created container: flyway
47m         Normal    Pulled              pod/flyway-migrate-fd5w6                  Container image "flyway/flyway:10.17.3" already present on machine
47m         Normal    Created             pod/sqlserver-init-nq62q                  Created container: bootstrap
47m         Normal    Started             pod/juliopedidoapi-5f7798f7fc-gs29q       Started container app
47m         Normal    Started             pod/juliojubiladoapi-78ffcdd46c-9gd2s     Started container app
